Oracle Item Number,Item Description,Department Name,Supplier Name,Avg_Lead Time,Removal_Reason,Removal_Date
801427,Scalpel Sz 11 Disp,Bariatric Clinic,Medline Industries Inc,1.5,No PAR Location Mapping,2025-09-11 03:28:18
803236,Needle Huber Tip Non-Coring Port Access,Bariatric Clinic,"ReShape Lifesciences, Inc",4.0,No PAR Location Mapping,2025-09-11 03:28:18
803236,Needle Huber Tip Non-Coring Port Access,Bariatric Clinic,"ReShape Lifesciences, Inc",4.0,No PAR Location Mapping,2025-09-11 03:28:18
803951,Syringe 3cc With 22Gx1.5in Safety Ndl,Bariatric Clinic,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
803951,Syringe 3cc With 22Gx1.5in Safety Ndl,Bariatric Clinic,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
803956,Needle Blood Colect With Luer Adptr 23G X 0.750,Bariatric Clinic,Medline Industries Inc,1.5,No PAR Location Mapping,2025-09-11 03:28:18
804058,Tray Laceration Custom Strl,Bariatric Clinic,Medline Industries Inc,6.0,No PAR Location Mapping,2025-09-11 03:28:18
804078,Lancet Safe-T-Stix Disp,Bariatric Clinic,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
84618,Binder Abdominal 3 Panel XLarge 9 x 62-74in,Bariatric Clinic,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
84619,Binder Abdominal 3 Panel XXLarge 9X72-84INCH,Bariatric Clinic,Medline Industries Inc,1.5,No PAR Location Mapping,2025-09-11 03:28:18
00033,Tube Blood Collection K2EDTA Vacutainer Lavender 4ml,Employee Health Services,Medline Industries Inc,5.34,No PAR Location Mapping,2025-09-11 03:28:18
00120,Cold Pack Reuse LF,Employee Health Services,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
00120,Cold Pack Reuse LF,Employee Health Services,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
00167,Hot Pack Instant Disposable Lf Medium 6 Inch X 7.5 Inch,Employee Health Services,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
00167,Hot Pack Instant Disposable Lf Medium 6 Inch X 7.5 Inch,Employee Health Services,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
00169,Pack Cold 6x10in,Employee Health Services,Medline Industries Inc,0.66,No PAR Location Mapping,2025-09-11 03:28:18
00230,Extractor Staple Skin,Employee Health Services,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
00233,Sanitizer Hand Purell With Pump 12oz,Employee Health Services,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00233,Sanitizer Hand Purell With Pump 12oz,Employee Health Services,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00235,Pad Alcohol Med Iso 70% Strl,Employee Health Services,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
00346,Paper Table 21in Exam,Employee Health Services,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00378,Bandaid Adhesive Strip Flexible Fabric LF NS 0.75 X 3 In,Employee Health Services,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
00380,Tape Paper 1in Micropore LF,Employee Health Services,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00535,Glove Exam Non-Sterile Sm Nitrile PF LF,Employee Health Services,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
00536,Glove Exam Non-Sterile Med Nitrile PF LF,Employee Health Services,Medline Industries Inc,0.66,No PAR Location Mapping,2025-09-11 03:28:18
00673,Drsg Gz 4 X 8 In Spng 12 Ply Curity Strl,Employee Health Services,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00677,Drsg Gz 2 X 2 In Spng 4 Ply Versln Strl,Employee Health Services,Medline Industries Inc,3.34,No PAR Location Mapping,2025-09-11 03:28:18
00678,Tray Instrument Gen Purp,Employee Health Services,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00680,Bandage Elastic NS 4x54in,Employee Health Services,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00681,Bandage Elastic NS 3x54in,Employee Health Services,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
00759,Ndl Hypo 23gx1in Safety Glide,Employee Health Services,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
01077,Syringe Saline Flush STR 0.9% 10ml Prefilled,Employee Health Services,Medline Industries Inc,3.0,No PAR Location Mapping,2025-09-11 03:28:18
10116,Needle Hypodermic Regular Wall Regular Bevel 23 G x 1 Inch,Employee Health Services,Fisher Scientific Company LLC,27.0,No PAR Location Mapping,2025-09-11 03:28:18
30038,Cuff BP Med Adult 1 Tube Vinyl LF,Employee Health Services,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
30039,Cuff BP Large Adult 1 Tube Vinyl LF,Employee Health Services,Medline Industries Inc,0.66,No PAR Location Mapping,2025-09-11 03:28:18
30234,Solution Bitrex Fit Test,Employee Health Services,Medline Industries Inc,13.5,No PAR Location Mapping,2025-09-11 03:28:18
30781,Deodorizer Odor Elim 1oz Carrafree,Employee Health Services,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
677295,Specula Otoscope 2.75Mm Di,Employee Health Services,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
677296,Specula Otoscope 4.0Mm Dia,Employee Health Services,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
695093,Micropore Paper Surgical Tape 2in x 10yd,Employee Health Services,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
695165,Prep Pad Alcohol Large Iso 70 Percent Strl,Employee Health Services,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
695705,Splint Finger Cot Fold Over Medium 3.25in,Employee Health Services,Medline Industries Inc,2.0,No PAR Location Mapping,2025-09-11 03:28:18
695712,Universal Surround Elbow Brace With Floam 18in,Employee Health Services,Medline Industries Inc,4.0,No PAR Location Mapping,2025-09-11 03:28:18
695712,Universal Surround Elbow Brace With Floam 18in,Employee Health Services,Medline Industries Inc,4.0,No PAR Location Mapping,2025-09-11 03:28:18
801181,Container Sharps Pt Room Next Gen,Employee Health Services,Medline Industries Inc,2.0,No PAR Location Mapping,2025-09-11 03:28:18
801415,Splint Finger Prong Med,Employee Health Services,Medline Industries Inc,2.0,No PAR Location Mapping,2025-09-11 03:28:18
803912,Mask Respirator-N95 Regular,Employee Health Services,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
803914,Mask Respirator N95-Small,Employee Health Services,Medline Industries Inc,1.5,No PAR Location Mapping,2025-09-11 03:28:18
803957,Needle Blood Collect 21G X 0.750In 12In,Employee Health Services,Medline Industries Inc,1.5,No PAR Location Mapping,2025-09-11 03:28:18
00346,Paper Table 21in Exam,Hospital Administration,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00535,Glove Exam Non-Sterile Sm Nitrile PF LF,Hospital Administration,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
00536,Glove Exam Non-Sterile Med Nitrile PF LF,Hospital Administration,Medline Industries Inc,0.66,No PAR Location Mapping,2025-09-11 03:28:18
00537,Glove Exam Non-Sterile Lg Nitrile PF LF,Hospital Administration,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
30844,Swab Chloraprep 3ml,Hospital Administration,Medline Industries Inc,0.76,No PAR Location Mapping,2025-09-11 03:28:18
668817,Band Exer Theraband Blue Extra Heavy 6 X 50YD,Hospital Administration,Performance Health Supply Inc,8.0,No PAR Location Mapping,2025-09-11 03:28:18
696962,Stopcock 3Way Hndl OFF Position Rotating Adpt 45 PSI,Hospital Administration,Medline Industries Inc,1.5,No PAR Location Mapping,2025-09-11 03:28:18
801734,Spoon Plastic White Heavy Weight Ind Wrapped,Hospital Administration,Individual FoodService,1.5,No PAR Location Mapping,2025-09-11 03:28:18
803236,Needle Huber Tip Non-Coring Port Access,Hospital Administration,"ReShape Lifesciences, Inc",4.0,No PAR Location Mapping,2025-09-11 03:28:18
803951,Syringe 3cc With 22Gx1.5in Safety Ndl,Hospital Administration,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
82850,Chair Aeron with Arms Black Clr Seat Angle Tilt Lim,Nursing Administration,Pivot Interiors Inc,26.5,No PAR Location Mapping,2025-09-11 03:28:18
00233,Sanitizer Hand Purell With Pump 12oz,Nursing Education,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
82850,Chair Aeron with Arms Black Clr Seat Angle Tilt Lim,Nursing Education,Pivot Interiors Inc,26.5,No PAR Location Mapping,2025-09-11 03:28:18
00262,Swabstick Prep Skin Povidone Iodine 10%,Spine Center,Medline Industries Inc,7.5,No PAR Location Mapping,2025-09-11 03:28:18
00262,Swabstick Prep Skin Povidone Iodine 10%,Spine Center,Medline Industries Inc,7.5,No PAR Location Mapping,2025-09-11 03:28:18
00346,Paper Table 21in Exam,Spine Center,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00346,Paper Table 21in Exam,Spine Center,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00386,Drsg Tegaderm Sterile 4x4.75in Transpar,Spine Center,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00535,Glove Exam Non-Sterile Sm Nitrile PF LF,Spine Center,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
00535,Glove Exam Non-Sterile Sm Nitrile PF LF,Spine Center,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
00536,Glove Exam Non-Sterile Med Nitrile PF LF,Spine Center,Medline Industries Inc,0.66,No PAR Location Mapping,2025-09-11 03:28:18
00537,Glove Exam Non-Sterile Lg Nitrile PF LF,Spine Center,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
00537,Glove Exam Non-Sterile Lg Nitrile PF LF,Spine Center,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
00589,Battery Alk Procell Size 9V,Spine Center,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
00592,Battery Alk Procell 1.5V AA,Spine Center,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00670,Drsg Gz 4x4in Spng STR 4 Ply Versalon,Spine Center,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
00983,Cover Probe Thermometer Suretemp Non-Sterile,Spine Center,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
01077,Syringe Saline Flush STR 0.9% 10ml Prefilled,Spine Center,Medline Industries Inc,3.0,No PAR Location Mapping,2025-09-11 03:28:18
27951,Battery Alk Procell Size AAA 1.5V,Spine Center,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
30038,Cuff BP Med Adult 1 Tube Vinyl LF,Spine Center,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
30844,Swab Chloraprep 3ml,Spine Center,Medline Industries Inc,0.76,No PAR Location Mapping,2025-09-11 03:28:18
30847,Wipe Sani Cloth,Spine Center,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
30847,Wipe Sani Cloth,Spine Center,Medline Industries Inc,0.34,No PAR Location Mapping,2025-09-11 03:28:18
30860,Tissue Facial Kleenex Large 9 x 8in,Spine Center,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
648245,Syringe Needle Luer Lok Sterile LF 5 CC 21 G X 1 INCH,Spine Center,Medline Industries Inc,19.0,No PAR Location Mapping,2025-09-11 03:28:18
648246,Syringe Needle Luer Lok Sterile LF 10CC 21 G X 1 INCH,Spine Center,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
669396,Strip Steri Skin Closure Reinf Adhesive Sterile 0.125 x 3in,Spine Center,Medline Industries Inc,1.5,No PAR Location Mapping,2025-09-11 03:28:18
671658,Wipe Sani-Cloth AF3 Germ Alcohol Free Disp 6 in x 6.75 in,Spine Center,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
671658,Wipe Sani-Cloth AF3 Germ Alcohol Free Disp 6 in x 6.75 in,Spine Center,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
673761,Shorts Boxer Pt Exam Disposable Sm/Med,Spine Center,Performance Health Supply Inc,4.0,No PAR Location Mapping,2025-09-11 03:28:18
688077,Tray Suture Rem,Spine Center,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
688077,Tray Suture Rem,Spine Center,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
695048,Xeroform Gauze Sterile 1in x 8in,Spine Center,Medline Industries Inc,1.5,No PAR Location Mapping,2025-09-11 03:28:18
696967,Cuff BP Med Adult 1 Tube Vinyl,Spine Center,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
801145,Bandage Coban 2In X 5Yd Tan Ltx,Spine Center,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
801181,Container Sharps Pt Room Next Gen,Spine Center,Medline Industries Inc,2.0,No PAR Location Mapping,2025-09-11 03:28:18
801386,Film Dryview Dvb Plus Ce Blue Based 35 X 4,Spine Center,"MXR Imaging, Inc",6.0,No PAR Location Mapping,2025-09-11 03:28:18
801386,Film Dryview Dvb Plus Ce Blue Based 35 X 4,Spine Center,"MXR Imaging, Inc",6.0,No PAR Location Mapping,2025-09-11 03:28:18
802993,Cup Styrofoam 16Oz,Spine Center,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
802993,Cup Styrofoam 16Oz,Spine Center,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
803879,BatteryAlklnDuracellProCell7YearShelfLife1.5VoltSize DBxof12,Spine Center,Medline Industries Inc,3.5,No PAR Location Mapping,2025-09-11 03:28:18
803883,TapeFoamHypoallergenicMicrofoamElasticLatex Free 1in x 5.5yd,Spine Center,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
804058,Tray Laceration Custom Strl,Spine Center,Medline Industries Inc,6.0,No PAR Location Mapping,2025-09-11 03:28:18
804093,Dressing Telfa Island Sponge 4X5,Spine Center,Medline Industries Inc,2.5,No PAR Location Mapping,2025-09-11 03:28:18
804094,Dressing Telfa Island Sponge 4X8,Spine Center,Medline Industries Inc,11.0,No PAR Location Mapping,2025-09-11 03:28:18
804119,"0.9% Sodium Chloride Irrigation, USP Bottle",Spine Center,Medline Industries Inc,0.5,No PAR Location Mapping,2025-09-11 03:28:18
85432,Ndl Hypo 22gx1.5in Rw Reg Bvl Non-Safe LF,Spine Center,Medline Industries Inc,1.0,No PAR Location Mapping,2025-09-11 03:28:18
