oid,Item Description,unit_of_measure,lo,lead_time,burn_rate,Stock Units Analytical
000023,Kit Cath Suction 10fr Regu-Vac LF,Each,Level 1 ED,1.0,3.0,3.0
000023,Kit Cath Suction 10fr Regu-Vac LF,Each,Perpetual,1.0,0.0,7.0
000024,Kit Cath Suction Regu-Vac LF 8FR,Each,Perpetual,0.5,0.0,2.0
000027,Sensor Cardiac Output FloTrac Disp.,Each,Level 7 ICU,1.0,0.04,3.0
000030,Tubing Pres 48in Mon M/F LF,Each,Level 7 ICU,1.0,0.02,1.0
000032,Tube Vacutainer Red 6ml,Each,Level 3 Central Lab,0.5,145.6,2781.0
000039,Drain Reservoir 100ml Silicone,Each,Level 2 Surgery/Procedures/PACU,0.5,0.22,4.0
000041,Tube ET Peds 4.5mm Uncuffed Nasal/Oral Murp,Each,Level 1 ED,2.5,4.0,4.0
000041,Tube ET Peds 4.5mm Uncuffed Nasal/Oral Murp,Each,Perpetual,2.5,0.0,2.0
000043,Tube ET Peds 4mm Uncuff Nasal/Oral Murphy,Each,Level 1 ED,2.0,2.0,2.0
000043,Tube ET Peds 4mm Uncuff Nasal/Oral Murphy,Each,Perpetual,2.0,0.0,2.0
000046,Tube ET 5mm Cuffed Hi-Lo Murphy,Each,Perpetual,2.0,0.0,3.0
000047,Tube ET Peds 3mm Uncuffed Nasal/Oral Murphy,Each,Perpetual,0.5,0.0,2.0
000048,Tube Endotrach Ped 3.5mm Uncuff Nasal Murphy,Each,Perpetual,0.5,0.0,1.0
000049,Tube ET Uncuffed Peds 2.5mm Murphy,Each,Perpetual,0.5,0.0,2.0
000059,Airway Ophgeal Non-Sterile 100mm Gued 10,Each,Level 2 Surgery/Procedures/PACU,0.5,13.0,13.0
000059,Airway Ophgeal Non-Sterile 100mm Gued 10,Each,Level 7 ICU,0.5,7.0,7.0
000059,Airway Ophgeal Non-Sterile 100mm Gued 10,Each,Perpetual,0.5,0.0,12.0
000060,Airway Ophgeal Non-Sterile 80mm Gued 8,Each,Level 2 Surgery/Procedures/PACU,0.5,12.0,12.0
000060,Airway Ophgeal Non-Sterile 80mm Gued 8,Each,Level 7 ICU,0.5,3.0,3.0
000060,Airway Ophgeal Non-Sterile 80mm Gued 8,Each,Perpetual,0.5,0.0,7.0
000065,Airway Naso 30fr LF Strl,Each,Level 1 ED,1.0,0.08,4.0
000065,Airway Naso 30fr LF Strl,Each,Level 7 ICU,1.0,0.06,3.0
000066,Airway Nasopharyngeal Sterile Latex Free PVC 28 FR,Each,Level 7 ICU,1.0,2.0,2.0
000066,Airway Nasopharyngeal Sterile Latex Free PVC 28 FR,Each,Perpetual,1.0,0.0,9.0
000071,Tube Trach 8FR Cuff Disp Innr Cann LF,Each,Perpetual,0.5,0.0,1.0
000072,Tube Trach 10FR Cuff Disp LF,Each,Perpetual,5.5,0.0,7.0
000074,Tube Trach Fenestrated 6FR Cuff  Disp Innr Cann LF,Each,Perpetual,31.5,0.0,8.0
000080,Tube Trach 10FR Cuff Disp LF,Each,Level 7 ICU,1.0,4.0,4.0
000080,Tube Trach 10FR Cuff Disp LF,Each,Perpetual,1.0,0.0,1.0
000081,Tube Trach 8FR Cuff Disp Innr Cann LF,Each,Perpetual,0.5,0.0,2.0
000082,Tube Trach 4FR Cuff Disp Innr Cann LF,Each,Perpetual,0.5,0.0,1.0
000083,Tube Trach 6FR Cuff Disp Innr Cann LF,Each,Perpetual,0.5,0.0,2.0
000084,Strip Steri Sterile .25 x 3in Skin Closure Reinf Adhesive,Each,Level 1 ED,1.0,3.0,3.0
000084,Strip Steri Sterile .25 x 3in Skin Closure Reinf Adhesive,Each,Level 2 Surgery/Procedures/PACU,1.0,3.0,3.0
000084,Strip Steri Sterile .25 x 3in Skin Closure Reinf Adhesive,Each,Level 7 ICU,1.0,5.0,5.0
000084,Strip Steri Sterile .25 x 3in Skin Closure Reinf Adhesive,Each,Perpetual,1.0,0.0,12.0
000085,Strip Steri  Skin Closure Reinf Adhesive STR .5 x 4in,Each,Level 1 ED,1.0,3.0,3.0
000085,Strip Steri  Skin Closure Reinf Adhesive STR .5 x 4in,Each,Level 1 Imaging,1.0,22.0,22.0
000085,Strip Steri  Skin Closure Reinf Adhesive STR .5 x 4in,Each,Level 2 Surgery/Procedures/PACU,1.0,24.0,30.0
000085,Strip Steri  Skin Closure Reinf Adhesive STR .5 x 4in,Each,"Level 5 Observation, Medical Tele & Non-Tele",1.0,14.0,16.0
000085,Strip Steri  Skin Closure Reinf Adhesive STR .5 x 4in,Each,Level 7 ICU,1.0,5.0,5.0
000085,Strip Steri  Skin Closure Reinf Adhesive STR .5 x 4in,Each,Perpetual,1.0,3.0,11.0
000088,Cup Denture Snap On Lid LF 8OZ,Each,Level 2 Surgery/Procedures/PACU,0.5,9.0,9.0
000088,Cup Denture Snap On Lid LF 8OZ,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,9.0,9.0
000088,Cup Denture Snap On Lid LF 8OZ,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,11.0,11.0
000088,Cup Denture Snap On Lid LF 8OZ,Each,Level 7 ICU,0.5,10.0,10.0
000088,Cup Denture Snap On Lid LF 8OZ,Each,Perpetual,0.5,2.0,7.0
000089,Cup Stool Specimen With Lid 4.5 Ounce,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,14.0,16.0
000089,Cup Stool Specimen With Lid 4.5 Ounce,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,20.0,20.0
000089,Cup Stool Specimen With Lid 4.5 Ounce,Each,Perpetual,0.5,3.0,5.0
000090,Cup Med Plastic Disp LF 1oz,Each,Level 1 ED,0.5,37.36,340.0
000090,Cup Med Plastic Disp LF 1oz,Each,Level 2 Surgery/Procedures/PACU,0.5,2.74,274.0
000090,Cup Med Plastic Disp LF 1oz,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,80.76,500.0
000090,Cup Med Plastic Disp LF 1oz,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,90.1,481.0
000090,Cup Med Plastic Disp LF 1oz,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,115.38,650.0
000090,Cup Med Plastic Disp LF 1oz,Each,Level 7 ICU,0.5,14.84,215.0
000091,Tissue Facial,Box,Level 1 ED,0.66,81.0,81.0
000091,Tissue Facial,Box,Level 2 Surgery/Procedures/PACU,0.66,8.0,8.0
000091,Tissue Facial,Box,"Level 5 Observation, Medical Tele & Non-Tele",0.66,91.0,91.0
000091,Tissue Facial,Box,"Level 6 Telemetry, Cardiac & Stroke",0.66,65.0,65.0
000091,Tissue Facial,Box,Level 7 ICU,0.66,18.0,18.0
000091,Tissue Facial,Box,Perpetual,0.66,37.0,37.0
000094,Basin Wash Plas LF 7qt,Each,Level 1 ED,0.5,104.0,104.0
000094,Basin Wash Plas LF 7qt,Each,Level 2 Surgery/Procedures/PACU,0.5,2.0,2.0
000094,Basin Wash Plas LF 7qt,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,140.0,140.0
000094,Basin Wash Plas LF 7qt,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,69.0,69.0
000094,Basin Wash Plas LF 7qt,Each,Level 7 ICU,0.5,22.0,22.0
000094,Basin Wash Plas LF 7qt,Each,Perpetual,0.5,38.0,38.0
000096,Pan Speciman Urine LF,Each,Level 1 ED,0.5,10.0,10.0
000096,Pan Speciman Urine LF,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,34.0,40.0
000096,Pan Speciman Urine LF,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,19.0,19.0
000096,Pan Speciman Urine LF,Each,Level 7 ICU,0.5,5.0,5.0
000096,Pan Speciman Urine LF,Each,Perpetual,0.5,8.0,16.0
000097,Bowl Util Plas Strl LF 32oz,Each,Level 1 ED,1.0,20.0,20.0
000097,Bowl Util Plas Strl LF 32oz,Each,Level 2 Surgery/Procedures/PACU,1.0,7.0,10.0
000097,Bowl Util Plas Strl LF 32oz,Each,Perpetual,1.0,1.0,8.0
000107,Tray Intubation Adult Disp,Each,Perpetual,1.0,0.0,5.0
000108,Holder ET Tube Anchor Fast,Each,Respiratory Therapy,1.0,0.62,13.0
000111,Tube ET Cuffed Hi-Lo Murphy 8.5mm,Each,Level 2 Surgery/Procedures/PACU,1.0,2.0,2.0
000111,Tube ET Cuffed Hi-Lo Murphy 8.5mm,Each,Level 7 ICU,1.0,2.0,2.0
000111,Tube ET Cuffed Hi-Lo Murphy 8.5mm,Each,Perpetual,1.0,0.0,7.0
000112,Tube ET Cuffed Hi-Lo Murphy 8mm,Each,Level 2 Surgery/Procedures/PACU,6.0,4.0,10.0
000112,Tube ET Cuffed Hi-Lo Murphy 8mm,Each,Level 7 ICU,6.0,2.0,2.0
000112,Tube ET Cuffed Hi-Lo Murphy 8mm,Each,Perpetual,6.0,0.0,19.0
000113,Tube ET Cuffed Hi-Lo Murphy 6.5mm,Each,Level 2 Surgery/Procedures/PACU,0.76,8.0,8.0
000113,Tube ET Cuffed Hi-Lo Murphy 6.5mm,Each,Perpetual,0.76,1.0,7.0
000114,Tube ET Cuffed Hi-Lo Murphy 7mm,Each,Level 2 Surgery/Procedures/PACU,0.5,26.0,26.0
000114,Tube ET Cuffed Hi-Lo Murphy 7mm,Each,Level 7 ICU,0.5,3.0,3.0
000114,Tube ET Cuffed Hi-Lo Murphy 7mm,Each,Perpetual,0.5,4.0,6.0
000115,Tube ET Cuffed Hi-Lo Murphy 7.5mm,Each,Level 1 ED,0.66,3.0,3.0
000115,Tube ET Cuffed Hi-Lo Murphy 7.5mm,Each,Level 2 Surgery/Procedures/PACU,0.66,20.0,20.0
000115,Tube ET Cuffed Hi-Lo Murphy 7.5mm,Each,Level 7 ICU,0.66,3.0,3.0
000115,Tube ET Cuffed Hi-Lo Murphy 7.5mm,Each,Perpetual,0.66,3.0,9.0
000116,Tube ET Cuffed Hi-Lo Murphy 6mm,Each,Level 2 Surgery/Procedures/PACU,0.5,5.0,5.0
000116,Tube ET Cuffed Hi-Lo Murphy 6mm,Each,Level 7 ICU,0.5,2.0,2.0
000116,Tube ET Cuffed Hi-Lo Murphy 6mm,Each,Perpetual,0.5,0.0,5.0
000117,Blanket Hyper/Hypothermia Adult LF,Each,Level 2 Surgery/Procedures/PACU,0.5,1.0,1.0
000117,Blanket Hyper/Hypothermia Adult LF,Each,Level 7 ICU,0.5,3.0,4.0
000117,Blanket Hyper/Hypothermia Adult LF,Each,Perpetual,0.5,0.0,3.0
000119,Pad Heat T Pump Disp LF,Each,Perpetual,1.0,0.0,3.0
000122,Stethoscope Yellow,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,16.0,16.0
000122,Stethoscope Yellow,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,8.0,8.0
000122,Stethoscope Yellow,Each,Level 7 ICU,0.5,13.0,13.0
000122,Stethoscope Yellow,Each,Perpetual,0.5,5.0,10.0
000123,Powder Cornstarch 3oz,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,6.0,8.0
000123,Powder Cornstarch 3oz,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,5.0,5.0
000123,Powder Cornstarch 3oz,Each,Level 7 ICU,0.5,5.0,5.0
000123,Powder Cornstarch 3oz,Each,Perpetual,0.5,1.0,4.0
000124,Loop Vessel Mini Yel,Box,Level 2 Surgery/Procedures/PACU,2.5,0.0,1.0
000126,Loop Vessel Mini Bl,Each,Level 2 Surgery/Procedures/PACU,1.0,0.08,7.0
000126,Loop Vessel Mini Bl,Each,Level 2 Surgery/Procedures/PACU,1.0,0.1,7.0
000128,Loop Vessel Maxi Rd,Box,Level 2 Surgery/Procedures/PACU,1.0,0.0,1.0
000129,Loop Vessel Mini Rd,Box,Level 2 Surgery/Procedures/PACU,2.0,0.0,1.0
000132,Cap Surg Bouf Bl LF 24INCH,Each,"Level 5 Observation, Medical Tele & Non-Tele",1.0,0.28,32.0
000132,Cap Surg Bouf Bl LF 24INCH,Each,"Level 6 Telemetry, Cardiac & Stroke",1.0,0.28,32.0
000132,Cap Surg Bouf Bl LF 24INCH,Each,Level 7 ICU,1.0,0.54,23.0
000133,Cap Surg Universal Black Blue SMS,Each,Level 1 Imaging,0.5,0.82,49.0
000133,Cap Surg Universal Black Blue SMS,Each,Level 2 Surgery/Procedures/PACU,0.5,26.1,352.0
000134,Mask Isolation LF,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,200.0,200.0
000134,Mask Isolation LF,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,260.0,260.0
000134,Mask Isolation LF,Each,Level 7 ICU,0.5,100.0,100.0
000134,Mask Isolation LF,Each,Perpetual,0.5,3.0,79.0
000135,Mask Surg Fog Free LF,Box,Level 1 Imaging,0.5,0.1,1.0
000135,Mask Surg Fog Free LF,Box,Level 2 Surgery/Procedures/PACU,0.5,0.1,3.0
000136,Cover Shoe XL LF,Each,Level 1 Imaging,0.5,240.0,240.0
000136,Cover Shoe XL LF,Each,Level 2 Surgery/Procedures/PACU,0.5,288.0,288.0
000136,Cover Shoe XL LF,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,240.0,240.0
000136,Cover Shoe XL LF,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,240.0,240.0
000136,Cover Shoe XL LF,Each,Perpetual,0.5,33.0,77.0
000138,Mask Surg Duckbill,Each,Level 2 Surgery/Procedures/PACU,0.5,17.86,214.0
000142,Slipper Adult 2XL Gray,Each,Level 1 ED,0.5,19.0,19.0
000142,Slipper Adult 2XL Gray,Each,Level 2 Surgery/Procedures/PACU,0.5,15.0,15.0
000142,Slipper Adult 2XL Gray,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,34.0,34.0
000142,Slipper Adult 2XL Gray,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,25.0,25.0
000142,Slipper Adult 2XL Gray,Each,Level 7 ICU,0.5,6.0,6.0
000142,Slipper Adult 2XL Gray,Each,Perpetual,0.5,12.0,53.0
000146,Sponge Gelita Sterile 2cm x 6cm x 0.7mm,Each,Level 2 Surgery/Procedures/PACU,15.5,0.06,15.0
000147,Sponge Gelita Sterile 8.5cm x 12cm x 10mm,Each,Level 2 Surgery/Procedures/PACU,14.0,0.02,7.0
000150,Gel Ultrasound 8oz,Each,Level 1 ED,0.5,0.24,3.0
000150,Gel Ultrasound 8oz,Each,Level 1 Imaging,0.5,1.54,29.0
000150,Gel Ultrasound 8oz,Each,Level 2 Surgery/Procedures/PACU,0.5,0.1,2.0
000150,Gel Ultrasound 8oz,Each,Level 7 ICU,0.5,0.18,2.0
000156,Humidifier Bubl 340ml Prefil Strl H2O Aqupk,Each,Respiratory Therapy,1.5,0.88,36.0
000158,Tube O2 7ft Conn LF,Each,Level 2 Surgery/Procedures/PACU,2.0,0.02,4.0
000158,Tube O2 7ft Conn LF,Each,Respiratory Therapy,2.0,1.78,76.0
000159,Trap Specimen Sputum 40 ml,Each,Level 1 ED,0.5,3.0,3.0
000159,Trap Specimen Sputum 40 ml,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,2.0,2.0
000159,Trap Specimen Sputum 40 ml,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,4.0,4.0
000159,Trap Specimen Sputum 40 ml,Each,Level 7 ICU,0.5,8.0,8.0
000159,Trap Specimen Sputum 40 ml,Each,Perpetual,0.5,1.0,3.0
000160,Cannula Nasal Adult 7ft LF,Each,Level 1 ED,0.5,4.12,78.0
000160,Cannula Nasal Adult 7ft LF,Each,Level 2 Surgery/Procedures/PACU,0.5,2.06,20.0
000160,Cannula Nasal Adult 7ft LF,Each,Respiratory Therapy,0.5,7.14,77.0
000161,Brush Scrub Dry w/Spng Disp Strl Green,Each,Level 1 ED,1.0,0.08,7.0
000161,Brush Scrub Dry w/Spng Disp Strl Green,Each,Level 2 Surgery/Procedures/PACU,1.0,0.74,73.0
000161,Brush Scrub Dry w/Spng Disp Strl Green,Each,Level 7 ICU,1.0,0.08,7.0
000162,Brush Chlorhex-Gluc 4% E-Z Scrub Disp Red,Box,Level 2 Surgery/Procedures/PACU,1.0,0.18,4.0
000178,Clip Hemoclip Lg,Each,Level 2 Surgery/Procedures/PACU,0.5,0.02,2.0
000182,Drape Transparent Aperture Ovl Adhs Strl Disp LF Med 31 x 51,Each,Level 2 Surgery/Procedures/PACU,1.0,0.14,7.0
000183,Drape Towel Sm Aprtr Clr Strl LF 15 x 15in,Each,Level 2 Surgery/Procedures/PACU,1.0,0.02,4.0
000184,Drape Towel Sm Adh Strip Strl LF 11 x 17in,Each,Level 2 Surgery/Procedures/PACU,1.0,6.4,55.0
000186,Mask O2 Adult 7ft Md Elong LF,Each,Level 1 ED,0.5,0.28,17.0
000186,Mask O2 Adult 7ft Md Elong LF,Each,Respiratory Therapy,0.5,0.82,24.0
000189,Drape Incis Antimicro Ioban 2 Strl LF 23 x 17cm,Each,Level 2 Surgery/Procedures/PACU,0.5,4.16,16.0
000192,Drape Incise Steri-Drape Clear Strl LF 23 x 17in,Each,Level 2 Surgery/Procedures/PACU,1.0,0.08,5.0
000195,Pad Prep 2% CHG Alcohol Free,Each,Level 2 Surgery/Procedures/PACU,3.66,89.0,201.0
000195,Pad Prep 2% CHG Alcohol Free,Each,Level 7 ICU,3.66,287.0,577.0
000195,Pad Prep 2% CHG Alcohol Free,Each,Perpetual,3.66,49.0,424.0
000196,Applicator Chloraprep 26ml Orange Tint Sterile,Each,Level 2 Surgery/Procedures/PACU,1.0,13.6,68.0
000199,Tray Prep w/ Sol Applicators Pov-Iod 6 Small Wing Spngs,Each,Level 2 Surgery/Procedures/PACU,0.5,0.24,6.0
000200,Tray Prep Vaginal Pov-Iod Wet Curity Strl,Each,Level 1 ED,0.5,0.02,1.0
000205,Splint Freedom Medium,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,0.14,3.0
000205,Splint Freedom Medium,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,0.04,2.0
000205,Splint Freedom Medium,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,0.28,3.0
000205,Splint Freedom Medium,Each,Level 7 ICU,0.5,0.14,3.0
000208,Splint Freedom Large,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,0.14,5.0
000208,Splint Freedom Large,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,0.06,2.0
000208,Splint Freedom Large,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,0.1,2.0
000208,Splint Freedom Large,Each,Level 7 ICU,0.5,0.08,2.0
000212,Basin Emesis Disp Gry 500 CC,Each,Level 1 ED,0.5,82.0,82.0
000212,Basin Emesis Disp Gry 500 CC,Each,Level 2 Surgery/Procedures/PACU,0.5,8.0,8.0
000212,Basin Emesis Disp Gry 500 CC,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,81.0,98.0
000212,Basin Emesis Disp Gry 500 CC,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,60.0,60.0
000212,Basin Emesis Disp Gry 500 CC,Each,Level 7 ICU,0.5,20.0,20.0
000212,Basin Emesis Disp Gry 500 CC,Each,Perpetual,0.5,25.0,27.0
000222,Cup Paper 8oz,Case,Level 2 Surgery/Procedures/PACU,0.5,38.0,38.0
000222,Cup Paper 8oz,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,1031.0,1048.0
000222,Cup Paper 8oz,Case,"Level 6 Telemetry, Cardiac & Stroke",0.5,482.0,482.0
000222,Cup Paper 8oz,Each,Level 7 ICU,0.5,84.0,84.0
000222,Cup Paper 8oz,Case,Perpetual,0.5,152.0,152.0
000224,Straw Flex 7.75in Ind Wrap,Each,Level 1 ED,0.5,1.1,110.0
000224,Straw Flex 7.75in Ind Wrap,Each,Level 2 Surgery/Procedures/PACU,0.5,2.2,110.0
000224,Straw Flex 7.75in Ind Wrap,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,46.16,641.0
000224,Straw Flex 7.75in Ind Wrap,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,23.08,377.0
000224,Straw Flex 7.75in Ind Wrap,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,9.9,219.0
000224,Straw Flex 7.75in Ind Wrap,Each,Level 7 ICU,0.5,16.48,348.0
000226,Carafe Bedside 32oz,Each,Level 2 Surgery/Procedures/PACU,0.5,10.0,10.0
000226,Carafe Bedside 32oz,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,113.0,190.0
000226,Carafe Bedside 32oz,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,8.0,8.0
000226,Carafe Bedside 32oz,Each,Level 7 ICU,0.5,23.0,23.0
000226,Carafe Bedside 32oz,Each,Perpetual,0.5,18.0,193.0
000228,Tubing Suction 9/32INCHX10FT,Each,Perpetual,0.5,0.0,8.0
000229,Stapler Skin Hd Prox 35W,Each,Level 1 ED,0.5,0.42,15.0
000229,Stapler Skin Hd Prox 35W,Each,Level 2 Surgery/Procedures/PACU,0.5,2.2,14.0
000229,Stapler Skin Hd Prox 35W,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,0.0,1.0
000229,Stapler Skin Hd Prox 35W,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,0.02,1.0
000534,Sol IV D5 100ml,Each,Level 2 Pharm,26.0,149.0,1211.0
000238,Spike Screw Pump Feed Kangaroo,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,8.0,9.0
000238,Spike Screw Pump Feed Kangaroo,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,5.0,5.0
000238,Spike Screw Pump Feed Kangaroo,Each,Level 7 ICU,0.5,13.0,13.0
000238,Spike Screw Pump Feed Kangaroo,Each,Perpetual,0.5,3.0,14.0
000250,Blade Surgical Scalpel 11 SS Strl LF,Each,Level 2 Surgery/Procedures/PACU,0.5,50.0,50.0
000250,Blade Surgical Scalpel 11 SS Strl LF,Each,Perpetual,0.5,2.0,321.0
000252,Scalpel Surg W/ Lock 11 Retrct Shld Strl Disp SS,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,0.02,2.0
000253,Scalpel Surg W/ Lock 15 Retrct Shld Strl Disp SS,Each,Level 1 ED,0.5,0.56,7.0
000253,Scalpel Surg W/ Lock 15 Retrct Shld Strl Disp SS,Each,Level 1 Imaging,0.5,0.76,4.0
000253,Scalpel Surg W/ Lock 15 Retrct Shld Strl Disp SS,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,0.02,2.0
000253,Scalpel Surg W/ Lock 15 Retrct Shld Strl Disp SS,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,0.06,2.0
000253,Scalpel Surg W/ Lock 15 Retrct Shld Strl Disp SS,Each,Level 7 ICU,0.5,0.12,3.0
000255,Blade Mini Opth Straight Dbl Bvl Shrp All Arnd,Each,Level 2 Surgery/Procedures/PACU,1.0,0.06,6.0
000257,Blade Tongue Adult Strl,Each,Level 1 ED,0.5,117.0,117.0
000257,Blade Tongue Adult Strl,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,100.0,100.0
000257,Blade Tongue Adult Strl,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,100.0,100.0
000257,Blade Tongue Adult Strl,Each,Level 7 ICU,0.5,120.0,120.0
000257,Blade Tongue Adult Strl,Each,Perpetual,0.5,8.0,17.0
000260,Applicator Cotton Tip 6in Strl,Each,Level 1 ED,0.5,238.0,238.0
000260,Applicator Cotton Tip 6in Strl,Each,Level 2 Surgery/Procedures/PACU,0.5,200.0,200.0
000260,Applicator Cotton Tip 6in Strl,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,255.0,255.0
000260,Applicator Cotton Tip 6in Strl,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,230.0,230.0
000260,Applicator Cotton Tip 6in Strl,Each,Level 7 ICU,0.5,220.0,220.0
000260,Applicator Cotton Tip 6in Strl,Each,Perpetual,0.5,36.0,95.0
000263,Prep Skin Pad PVP Swabaid Povidone Iodine,Each,Level 1 ED,0.5,300.0,300.0
000263,Prep Skin Pad PVP Swabaid Povidone Iodine,Each,Level 1 Imaging,0.5,100.0,100.0
000263,Prep Skin Pad PVP Swabaid Povidone Iodine,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,117.0,117.0
000263,Prep Skin Pad PVP Swabaid Povidone Iodine,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,127.0,127.0
000263,Prep Skin Pad PVP Swabaid Povidone Iodine,Each,Perpetual,0.5,5.0,33.0
000268,Bag Feeding E Pump 500ml Non-Sterile,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.34,5.0,7.0
000268,Bag Feeding E Pump 500ml Non-Sterile,Each,"Level 6 Telemetry, Cardiac & Stroke",0.34,2.0,2.0
000268,Bag Feeding E Pump 500ml Non-Sterile,Each,Level 7 ICU,0.34,3.0,3.0
000268,Bag Feeding E Pump 500ml Non-Sterile,Each,Perpetual,0.34,0.0,4.0
000276,Cement Bone 40gm Simplex Pro Full Dose,Each,Level 2 Surgery/Procedures/PACU,2.0,10.0,10.0
000276,Cement Bone 40gm Simplex Pro Full Dose,Each,Perpetual,2.0,0.0,3.0
000287,Bedpan Pewter Disp Adult,Each,Level 1 ED,0.5,25.0,25.0
000287,Bedpan Pewter Disp Adult,Each,Level 2 Surgery/Procedures/PACU,0.5,4.0,4.0
000287,Bedpan Pewter Disp Adult,Each,"Level 5 Observation, Medical Tele & Non-Tele",0.5,18.0,23.0
000287,Bedpan Pewter Disp Adult,Each,"Level 6 Telemetry, Cardiac & Stroke",0.5,33.0,33.0
000287,Bedpan Pewter Disp Adult,Each,Level 7 ICU,0.5,14.0,14.0
