Department Name,Department Number,Oracle Item Number,Item Description,UOM,Avg Daily Burn Rate,Supplier Name,Avg_Lead Time,Medline item? Y/N,On-PAR or Special Request,Level 1 Perpetual_1400,Level 1 Facilities/Biomed_1232,Level 1 EVS_1321,Level 1 ED_1229,Level 1 Imaging_1329,Level 2 Pharm_2500,Level 2 Surgery/Procedures/PACU_2209_2321_2323_2450_2200B_2450A,Level 3 Sterile Processing_3307_3309,Level 3 Food Service,Level 3 Admin,Level 3 Central Lab_3411,Respiratory Therapy,"Level 5 Observation, Medical Tele & Non-Tele_5206","Level 6 Telemetry, Cardiac & Stroke",Level 7 PCU,Level 7 ICU,"Level 8 M/S Overflow, VIP & Int'l Med","Level 9 Surgical, Non-Infectious",Data_Source,Last_Updated,Update_Status
Balance Sheet CC,0,00059,Airway Ophgeal Non-Sterile 100mm Gued 10,Each,13.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00060,Airway Ophgeal Non-Sterile 80mm Gued 8,Each,12.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00066,Airway Nasopharyngeal Sterile Latex Free PVC 28 FR,Each,2.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00071,Tube Trach 8FR Cuff Disp Innr Cann LF,Each,0.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00072,Tube Trach 10FR Cuff Disp LF,Each,0.0,Medline Industries Inc,5.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00074,Tube Trach Fenestrated 6FR Cuff  Disp Innr Cann LF,Each,0.0,Medline Industries Inc,31.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00080,Tube Trach 10FR Cuff Disp LF,Each,4.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00081,Tube Trach 8FR Cuff Disp Innr Cann LF,Each,0.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00082,Tube Trach 4FR Cuff Disp Innr Cann LF,Each,0.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00083,Tube Trach 6FR Cuff Disp Innr Cann LF,Each,0.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00084,Strip Steri Sterile .25 x 3in Skin Closure Reinf Adhesive,Each,3.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00085,Strip Steri  Skin Closure Reinf Adhesive STR .5 x 4in,Each,3.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00088,Cup Denture Snap On Lid LF 8OZ,Each,9.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00089,Cup Stool Specimen With Lid 4.5 Ounce,Each,14.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00091,Tissue Facial,Box,81.0,Medline Industries Inc,0.66,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00094,Basin Wash Plas LF 7qt,Each,104.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00096,Pan Speciman Urine LF,Each,10.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00097,Bowl Util Plas Strl LF 32oz,Each,20.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00107,Tray Intubation Adult Disp,Each,0.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00111,Tube ET Cuffed Hi-Lo Murphy 8.5mm,Each,2.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00112,Tube ET Cuffed Hi-Lo Murphy 8mm,Each,4.0,Medline Industries Inc,6.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00113,Tube ET Cuffed Hi-Lo Murphy 6.5mm,Each,8.0,Medline Industries Inc,0.76,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00114,Tube ET Cuffed Hi-Lo Murphy 7mm,Each,26.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00115,Tube ET Cuffed Hi-Lo Murphy 7.5mm,Each,3.0,Medline Industries Inc,0.66,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00116,Tube ET Cuffed Hi-Lo Murphy 6mm,Each,5.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00117,Blanket Hyper/Hypothermia Adult LF,Each,1.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00119,Pad Heat T Pump Disp LF,Each,0.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00120,Cold Pack Reuse LF,Each,4.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00122,Stethoscope Yellow,Each,16.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00123,Powder Cornstarch 3oz,Each,6.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00136,Cover Shoe XL LF,Each,240.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00142,Slipper Adult 2XL Gray,Each,19.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00159,Trap Specimen Sputum 40 ml,Each,3.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00169,Pack Cold 6x10in,Each,53.0,Medline Industries Inc,0.66,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00195,Pad Prep 2% CHG Alcohol Free,Each,89.0,Medline Industries Inc,3.66,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00212,Basin Emesis Disp Gry 500 CC,Each,82.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00222,Cup Paper 8oz,Case,38.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00226,Carafe Bedside 32oz,Each,10.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00228,Tubing Suction 9/32INCHX10FT,Each,0.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00230,Extractor Staple Skin,Each,4.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00235,Pad Alcohol Med Iso 70% Strl,Each,1613.0,Medline Industries Inc,0.34,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00238,Spike Screw Pump Feed Kangaroo,Each,8.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00250,Blade Surgical Scalpel 11 SS Strl LF,Each,50.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00257,Blade Tongue Adult Strl,Each,117.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00260,Applicator Cotton Tip 6in Strl,Each,238.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00262,Swabstick Prep Skin Povidone Iodine 10%,Each,90.0,Medline Industries Inc,7.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00263,Prep Skin Pad PVP Swabaid Povidone Iodine,Each,300.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00268,Bag Feeding E Pump 500ml Non-Sterile,Each,5.0,Medline Industries Inc,0.34,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00287,Bedpan Pewter Disp Adult,Each,25.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00288,Urinal Male With Lid Plastic 1000ml,Each,76.0,Medline Industries Inc,0.34,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00289,Bedpan Fracture Disp Gry,Each,5.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00296,Container Specimen With Snap Top Sterile 4.5oz,Each,11.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00304,Tape Cast 5inx4yd Scotchcast 2 Wht,Each,0.0,Medline Industries Inc,3.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00305,Tape Cast 4inx4yd Scotchcast  + Fbrgls Wht,Each,0.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00306,Tape Cast 3inx4yd Scotchcast 2 Wht,Each,0.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00363,Bag Patient Belonging,Each,262.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00366,Sol Irrig Sterile H2O 2000ml,Each,4.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00378,Bandaid Adhesive Strip Flexible Fabric LF NS 0.75 X 3 In,Each,452.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00386,Drsg Tegaderm Sterile 4x4.75in Transpar,Each,56.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00387,Drsg Tegaderm Sterile 2 3/8x2.75in Transpar,Each,90.0,Medline Industries Inc,0.34,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00395,Bandage Gz Roll 4.5in Kerlix Strl,Each,14.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00397,Drsg Telfa 3x8in Strl Non Adher,Each,38.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00403,Drsg Eye Oval Strl Pad,Each,9.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00407,Drsg Gz 4 X 4in Spng 4 Ply Bulk NS,Each,847.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00408,Drsg Gz 2 X 2in Spng 4 Ply Bulk NS,Each,2035.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00444,Electrode EKG Adult,Each,1454.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00450,Sol Irrigation NaCl 0.9 3000ml Bag,Each,5.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00453,Enema Bucket Administration Set Soap Underpad 1500 ml,Each,3.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00468,Tray Irrigation 60ml 1200ml Syr Pist PVP Prep Strl,Each,6.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00492,Sol IV LR 500ml,Each,3.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00494,Sol IV D5 1000ml,Each,2.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00502,Sol IV D5 NaCl 0.9 1000ml,Each,2.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00504,Sol IV D5 NaCl 0.225 1000 ml,Each,1.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00506,Sol IV Na Cl 0.45 500ml,Each,0.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00507,Sol IV Na Cl 0.45 1000ml,Each,2.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00508,Sol IV NaCl 0.9 500ml,Each,15.0,Medline Industries Inc,0.66,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00511,Sol Irrigation NaCl 0.9 1000ml Bottle,Each,71.0,Medline Industries Inc,10.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00513,Sol Irrigation Str H2O 1000ml Bottle,Each,24.0,Medline Industries Inc,3.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00515,Sol IV D5 500ml,Each,1.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00518,Sol IV D5 NaCl 0.45 500ml,Each,0.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00519,Sol IV D5 Na Cl  0.45 1000ml,Each,2.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00520,Sol IV NaCl 0.9 250ml,Each,8.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00522,Sol IV D5 LR 1000ml,Each,4.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00523,Sol IV LR 1000ml,Each,4.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00524,Sol IV NaCl 0.9 1000ml,Each,14.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00525,Sol IV D5 250ml,Each,13.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00527,Sol IV D10 1000ml,Each,2.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00529,Sol IV NaCl 0.9 50ml,Each,10.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00530,Sol IV NaCl 0.9 100ml,Each,61.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00533,Sol IV D5 50ml,Each,322.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00534,Sol IV D5 100ml,Each,149.0,Medline Industries Inc,26.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00535,Glove Exam Non-Sterile Sm Nitrile PF LF,Each,3590.0,Medline Industries Inc,0.34,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00536,Glove Exam Non-Sterile Med Nitrile PF LF,Each,4292.0,Medline Industries Inc,0.66,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00537,Glove Exam Non-Sterile Lg Nitrile PF LF,Each,2529.0,Medline Industries Inc,0.34,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00538,Glove Exam Non-Sterile XL Nitrile PF LF,Each,0.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00539,Glove Exam Non-Sterile XS Nitrile PF LF,Each,0.0,Medline Industries Inc,2.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
Balance Sheet CC,0,00549,Syringe  LL LF STR 20ml,Each,26.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,,Merged_Complete_Dataset,2025-09-13 22:08:08,Updated_From_New_Data
